STN1,STN2,Weight,Bins,Frequency,Intervals
PSA,NWP,14,,,
NRLR,RPRD,14,,,
BCH,MKC,14,,,
HNL,PAU,14,,,
SRE,MB,14,,,
TDO,JRC,14,,,
RJY,DWP,14,,,
RJN,G,14,,,
KZJ,RDM,14,,,
VAK,KVU,14,,,
DOL,MFP,14,,,
DOL,KRBP,14,,,
DOS,SEB,14,,,
BHTR,BTT,14,,,
JJK,RURA,14,,,
JJK,PHD,14,,,
NCJ,VLY,14,,,
GAYA,AUBR,14,,,
NAD,KOTA,14,,,
SVM,QLM,14,,,
SVM,MAO,14,,,
SVA,CMU,14,,,
SVA,SGZ,14,,,
LKA,HJI,14,,,
NW,YG,14,,,
AZR,BOE,14,,,
MKC,DWX,14,,,
NDKD,PGRL,14,,,
NGP,BZU,14,,,
GZB,DSA,14,,,
MGS,CAR,14,,,
RMGM,CPT,14,,,
CKTD,MKP,14,,,
BKN,DSO,14,,,
SJP,UJN,14,,,
CPP,VZM,14,,,
CPT,MAD,14,,,
THVM,MAO,14,,,
SLN,BSB,14,,,
CRR,KUE,14,,,
CRY,KVU,14,,,
SPRD,THV,14,,,
BWM,SGZ,14,,,
BWM,RMA,14,,,
SNP,GNU,14,,,
LSR,AWB,14,,,
LSR,RGO,14,,,
CKU,GTS,14,,,
UJA,SID,14,,,
KMU,TJ,14,,,
JMT,VDS,14,,,
AKP,TUNI,14,,,
BSP,JSG,14,,,
ERS,SRTL,14,,,
WADI,YG,14,,,
WADI,RC,14,,,
QLN,PVU,14,,,
NRPD,YG,14,,,
RU,PUT,14,,,
RC,KSN,14,,,
COR,MVJ,14,,,
NSD,BJNR,14,,,
SDL,BRS,14,,,
SZM,NDLS,14,,,
JWB,FA,14,,,
PGRL,SAP,14,,,
ST,UDN,14,,,
SA,TPT,14,,,
SA,KPD,14,,,
CAN,KPQ,14,,,
DYD,BBK,14,,,
BNDA,MBA,14,,,
TMR,G,14,,,
ASKN,MNV,14,,,
TU,KDP,14,,,
TU,GY,14,,,
AF,IDH,14,,,
HIJ,BLS,14,,,
PGI,TIR,14,,,
PRR,TATA,14,,,
WJR,KPD,14,,,
TEL,CLX,14,,,
DNR,BTA,14,,,
CHKB,JAT,14,,,
DSS,BJU,14,,,
YFP,GCT,14,,,
BRGA,BRPL,14,,,
BNZ,LJN,14,,,
SVGA,MNM,14,,,
RPH,MLDT,14,,,
NDB,JL,14,,,
BJU,JAJ,14,,,
NDLS,MTJ,14,,,
FZR,FDK,14,,,
GD,CLJ,14,,,
BTA,ARA,14,,,
BTH,SGL,14,,,
KJM,YPR,14,,,
AJJ,TRT,14,,,
SGO,PHA,14,,,
JNU,BSB,13,,,
BER,MJ,13,,,
PNU,SID,13,,,
KMME,BRR,13,,,
DNKL,CTC,13,,,
BCT,DDR,13,,,
BPF,ET,13,,,
SRU,BTT,13,,,
KZE,NLE,13,,,
MB,LRJ,13,,,
MB,CH,13,,,
STA,JTW,13,,,
RHG,AWR,13,,,
PWL,BVH,13,,,
LKO,SAN,13,,,
LKO,AMG,13,,,
LKE,IDG,13,,,
DKO,KKDI,13,,,
BMB,JSG,13,,,
BMB,GP,13,,,
SHG,KRND,13,,,
GZB,ANVT,13,,,
GZB,ALJN,13,,,
TBN,HD,13,,,
FL,JOB,13,,,
MET,DUI,13,,,
GDG,UBL,13,,,
CPH,NIA,13,,,
CPH,RIG,13,,,
CPA,CNB,13,,,
MXN,FKG,13,,,
MCI,SKZR,13,,,
BCA,DSS,13,,,
MAU,MMA,13,,,
SNP,NUR,13,,,
MAN,MHD,13,,,
NMH,COR,13,,,
SGNR,ABS,13,,,
ALLP,KYJ,13,,,
ALLP,ERS,13,,,
SV,BTT,13,,,
GHR,JMU,13,,,
BURN,JOC,13,,,
SM,MLDT,13,,,
TMR,TRO,13,,,
HWH,ASN,13,,,
NJP,JPE,13,,,
GJL,AMRO,13,,,
TA,TIR,13,,,
TA,PGI,13,,,
DUI,NBA,13,,,
BYNR,BTJL,13,,,
BINA,MABA,13,,,
PRR,BBM,13,,,
PRR,ANR,13,,,
BRKA,PTRU,13,,,
BBM,CNI,13,,,
PTA,NBA,13,,,
PTA,RPJ,13,,,
RKB,JU,13,,,
G,TRO,13,,,
PVP,PVPT,13,,,
DHN,KTH,13,,,
BARH,PHK,13,,,
HAN,SMBJ,13,,,
BNC,BNCE,13,,,
KBL,HPT,13,,,
BLS,SORO,13,,,
BVI,PLG,13,,,
MDNR,MTC,13,,,
BRD,KP,13,,,
CNB,PHN,13,,,
KPN,JTJ,13,,,
SNSI,PB,12,,,
SPN,TLH,12,,,
PQN,UCR,12,,,
JND,KSD,12,,,
HLN,HAS,12,,,
DPA,BNLW,12,,,
PNP,SMK,12,,,
GRRU,RFJ,12,,,
GRRU,GAYA,12,,,
MRJ,BGM,12,,,
MRJ,KUD,12,,,
MBNR,JCL,12,,,
DMV,BXJ,12,,,
MSMD,BGBR,12,,,
BCH,UJN,12,,,
RJP,NRE,12,,,
RJP,KOU,12,,,
RJY,KVR,12,,,
DRH,AHA,12,,,
RKSN,CKP,12,,,
RKSN,SINI,12,,,
TAPA,BNN,12,,,
MB,GZB,12,,,
MJ,ABR,12,,,
BAY,TNGL,12,,,
RTGH,CUR,12,,,
ATE,BNDA,12,,,
ATE,CKTD,12,,,
PWS,PNBE,12,,,
PWS,DNR,12,,,
ABKA,NDAE,12,,,
ABKA,BDC,12,,,
DEOS,SV,12,,,
RAIR,SBPD,12,,,
RMGM,BID,12,,,
VKB,SKP,12,,,
VKB,ZB,12,,,
GIMB,AI,12,,,
ALER,ZN,12,,,
SJP,KPP,12,,,
GDR,BZA,12,,,
KGP,MDN,12,,,
KGP,JGM,12,,,
KGI,BID,12,,,
CPU,OBR,12,,,
MXN,SLGR,12,,,
RGDA,MNGD,12,,,
SLN,LBA,12,,,
SLO,ANV,12,,,
CRP,GMO,12,,,
PB,KPG,12,,,
BCN,HCP,12,,,
BWN,SDAH,12,,,
KKW,RN,12,,,
KKP,GJUT,12,,,
KKP,FDK,12,,,
CTO,PAK,12,,,
TUP,PTJ,12,,,
VMA,CMU,12,,,
KRNR,MYS,12,,,
CKU,JGM,12,,,
KATI,TMZ,12,,,
PRLI,LTRR,12,,,
MNGD,THV,12,,,
KMT,MABD,12,,,
VSU,MDN,12,,,
AKV,KSB,12,,,
AKT,NIA,12,,,
AKN,SGG,12,,,
BSP,BYL,12,,,
SBG,BHW,12,,,
ERS,TUVR,12,,,
QLN,CNGR,12,,,
MKU,SEG,12,,,
J,PBN,12,,,
JWP,HW,12,,,
GUR,GR,12,,,
SC,NLDA,12,,,
CAA,BMKI,12,,,
PGK,HMH,12,,,
PGK,SOG,12,,,
OGL,TEL,12,,,
BEAS,KRE,12,,,
BNDM,ROU,12,,,
JUC,KRE,12,,,
GWL,SVPI,12,,,
BGBR,KRAR,12,,,
AB,JTJ,12,,,
AN,NDB,12,,,
HIJ,MDN,12,,,
PKU,TMZ,12,,,
MUR,MSW,12,,,
ASK,HAS,12,,,
ORAI,KPI,12,,,
TNGL,HPT,12,,,
TIG,BUDM,12,,,
SDLP,CUR,12,,,
MSK,MNE,12,,,
BYT,BYL,12,,,
MQR,SEM,12,,,
MQR,CT,12,,,
VG,DHG,12,,,
VM,MLMR,12,,,
PTJ,CBE,12,,,
JMP,BGP,12,,,
AME,RBL,12,,,
YFP,BUI,12,,,
RTA,BRRG,12,,,
DHN,BKSC,12,,,
RIG,KHS,12,,,
BNT,PHD,12,,,
RANI,FA,12,,,
BIDR,ZB,12,,,
SRTL,TUVR,12,,,
KBJ,KRAR,12,,,
HCP,RBL,12,,,
NFK,BHW,12,,,
BLM,SAN,12,,,
RPR,DURE,12,,,
ALJN,NDLS,12,,,
SKP,LPI,12,,,
MYA,PANP,12,,,
DHNE,GY,12,,,
SMR,LUNI,12,,,
FA,SOH,12,,,
CSN,JL,12,,,
LRJ,HW,12,,,
VLR,KPD,12,,,
BTH,NKE,12,,,
HX,NRE,12,,,
HRI,AJI,12,,,
BPL,LAR,12,,,
KPI,PHN,12,,,
DPR,SEO,11,,,
MRJ,KOP,11,,,
DNKL,TLHR,11,,,
DMN,CND,11,,,
NRLR,AMB,11,,,
SRJ,NYN,11,,,
SRU,LRD,11,,,
MB,HPU,11,,,
MB,DLI,11,,,
RWL,HW,11,,,
MJ,AII,11,,,
MS,GDR,11,,,
BAU,RV,11,,,
BAQ,MABA,11,,,
BAB,LAR,11,,,
STL,JAJ,11,,,
STL,JSME,11,,,
KAD,LNL,11,,,
KAD,KJT,11,,,
ATL,BARH,11,,,
ATL,BKP,11,,,
JHS,AGC,11,,,
NAD,VMA,11,,,
SMBX,JAT,11,,,
SMBX,VJPJ,11,,,
NN,JM,11,,,
JRLE,AZ,11,,,
DEOS,GB,11,,,
DKO,SVGA,11,,,
URI,PUNE,11,,,
NGP,BD,11,,,
NGP,BPL,11,,,
BOY,PRF,11,,,
VKI,VDD,11,,,
ALER,BG,11,,,
GDR,VDD,11,,,
GDG,NGR,11,,,
KGI,MYA,11,,,
BLGR,BRPL,11,,,
JBP,PPI,11,,,
SLN,NHH,11,,,
KIR,BOE,11,,,
BCN,RBL,11,,,
ULT,BRR,11,,,
NYY,TVC,11,,,
KOTA,RTM,11,,,
KOTA,BUDI,11,,,
MAU,DLR,11,,,
PAP,ANV,11,,,
BUH,SDL,11,,,
ERN,TCR,11,,,
RN,PNVL,11,,,
GHQ,GHD,11,,,
GHH,GGN,11,,,
GNU,SMK,11,,,
HUP,YNK,11,,,
PNME,DHN,11,,,
KSG,JP,11,,,
SINI,TATA,11,,,
KLAR,MBA,11,,,
HWH,BHP,11,,,
GJL,GMS,11,,,
AMP,BHP,11,,,
AL,BVRT,11,,,
AL,TNKU,11,,,
AZ,KGLE,11,,,
BLTR,LRD,11,,,
ORAI,PHN,11,,,
ASN,MDP,11,,,
YLM,TUNI,11,,,
BD,CND,11,,,
BV,MSW,11,,,
NNO,BGZ,11,,,
JOB,JP,11,,,
BRKA,RMT,11,,,
TKD,FDB,11,,,
RMT,MURI,11,,,
WJR,AJJ,11,,,
JMU,MNP,11,,,
NBI,BTE,11,,,
NBI,KL,11,,,
RTM,JAO,11,,,
WL,KDM,11,,,
VZM,KTV,11,,,
JUDW,UMB,11,,,
ALJN,CNB,11,,,
YA,HX,11,,,
CSA,GMR,11,,,
CSA,BXR,11,,,
SCM,KTV,11,,,
SEG,JM,11,,,
GOTN,JU,11,,,
SDAH,BNXR,11,,,
SPZ,BGZ,10,,,
SPT,BAM,10,,,
PQN,GRMR,10,,,
JND,JLR,10,,,
LMN,RBL,10,,,
LMN,UCR,10,,,
LC,BNZ,10,,,
LC,LJN,10,,,
LS,NR,10,,,
PNC,BKP,10,,,
PNE,BHP,10,,,
CLG,BGP,10,,,
CLG,PPT,10,,,
WKI,SRR,10,,,
DMN,BD,10,,,
JLD,BUW,10,,,
JLD,CLJ,10,,,
BCT,BVI,10,,,
SRR,KTU,10,,,
TDL,RKM,10,,,
NMZ,SGUJ,10,,,
TDD,RJY,10,,,
PDKT,KKDI,10,,,
RJT,BKNG,10,,,
DRH,JMP,10,,,
AJE,AI,10,,,
AJE,BHUJ,10,,,
MLHA,KSD,10,,,
TAPA,PUL,10,,,
MB,LKO,10,,,
MJ,SOD,10,,,
MW,SV,10,,,
STA,JBP,10,,,
STN,ASN,10,,,
NCJ,ERL,10,,,
KIUL,PNBE,10,,,
GAYA,DHN,10,,,
JHD,TEA,10,,,
JHS,CGN,10,,,
JHS,NZM,10,,,
NAD,MEP,10,,,
LKN,BGS,10,,,
LKO,SLN,10,,,
SMBX,KTHU,10,,,
FLK,DQG,10,,,
NK,NR,10,,,
ND,MAN,10,,,
NLR,KVZ,10,,,
MKC,TAN,10,,,
AIT,ORAI,10,,,
GNH,PBN,10,,,
GNH,PRLI,10,,,
NGP,CD,10,,,
BMT,HYB,10,,,
BMT,LPI,10,,,
SHG,AMH,10,,,
RMD,MMM,10,,,
OTP,TCR,10,,,
KKDE,SHDM,10,,,
FL,SBR,10,,,
BKI,AWR,10,,,
SJP,AKD,10,,,
GDL,BKNG,10,,,
KGP,BLDA,10,,,
KGG,BJU,10,,,
CPH,SKT,10,,,
CPK,KWM,10,,,
CPK,HJI,10,,,
CPP,CHE,10,,,
BRYA,MKA,10,,,
SLO,CCT,10,,,
KIR,SMO,10,,,
CRR,SMO,10,,,
BCA,BJU,10,,,
AGN,G,10,,,
KOTA,BRC,10,,,
KOTA,NZM,10,,,
MAS,BZA,10,,,
MAU,AMH,10,,,
MAU,BLTR,10,,,
MAO,KRMI,10,,,
KKM,YA,10,,,
KKM,HX,10,,,
CTC,BHC,10,,,
KUDL,RN,10,,,
PAY,KPQ,10,,,
PAY,PAZ,10,,,
KATI,DGHA,10,,,
UJN,TAN,10,,,
BUW,BBK,10,,,
MNGD,KSNG,10,,,
MOO,YA,10,,,
MOO,KDP,10,,,
CVP,TEN,10,,,
HKG,SBP,10,,,
BSR,KYN,10,,,
BSR,BL,10,,,
BSB,JOP,10,,,
BSB,BTP,10,,,
KOJ,APDJ,10,,,
NRPD,KSN,10,,,
RU,KPD,10,,,
RC,YG,10,,,
RK,TPZ,10,,,
RGO,NSL,10,,,
PER,TRL,10,,,
GNT,NRT,10,,,
AII,BHL,10,,,
SDL,UMR,10,,,
HUP,SSPN,10,,,
HUP,PKD,10,,,
SL,UD,10,,,
SL,MAJN,10,,,
PGR,KRR,10,,,
SFY,BRRG,10,,,
TDPR,CUPJ,10,,,
NWP,CHE,10,,,
KUR,NKP,10,,,
KUE,NNA,10,,,
AF,AH,10,,,
AH,IDH,10,,,
AO,CH,10,,,
AY,ABP,10,,,
HIR,NKE,10,,,
RAA,UMB,10,,,
ASN,ADRA,10,,,
NNO,SSB,10,,,
BINA,MNV,10,,,
JOC,PRR,10,,,
NLV,RNY,10,,,
CC,GB,10,,,
SUR,PUNE,10,,,
TEN,VLY,10,,,
RKB,GOTN,10,,,
LTRR,UDGR,10,,,
RBGJ,CUK,10,,,
SWM,JP,10,,,
GYM,KPD,10,,,
DHG,SIOB,10,,,
DHD,BRC,10,,,
BIDR,BHLK,10,,,
SIR,GVG,10,,,
SIR,UMB,10,,,
KHNM,GRMR,10,,,
KHNM,LGO,10,,,
RPJ,UMB,10,,,
SKI,DBG,10,,,
MFP,MTR,10,,,
NDD,TNKU,10,,,
MYS,PANP,10,,,
WRR,HGT,10,,,
PNVL,ROHA,10,,,
BHW,TPH,10,,,
BAND,KJM,10,,,
KTE,UMR,10,,,
SHDM,UMB,10,,,
NDLS,DKZ,10,,,
UMR,BRS,10,,,
GD,GKP,10,,,
BTE,JP,10,,,
KAWR,KT,10,,,
BPQ,RDM,10,,,
KNN,GVG,10,,,
BRRG,CBK,10,,,
GTS,TATA,10,,,
SIOB,MALB,10,,,
DURE,ARA,10,,,
SPZ,ROK,9,,,
SPJ,LSI,9,,,
JNH,BSE,9,,,
PNC,GZH,9,,,
MRJ,JSP,9,,,
DMM,YPR,9,,,
PSB,HZD,9,,,
PSB,KQR,9,,,
JLL,ZBD,9,,,
JLL,BSB,9,,,
SRC,ULB,9,,,
SRJ,DBR,9,,,
SRO,KGA,9,,,
SRP,HWH,9,,,
GOL,MOU,9,,,
GOY,CNB,9,,,
KZT,ERL,9,,,
STA,MGS,9,,,
STA,COI,9,,,
RHG,BU,9,,,
KIUL,BSQP,9,,,
LKE,KOTA,9,,,
NH,SDAH,9,,,
JRLE,NILE,9,,,
RSR,BUI,9,,,
URD,GHD,9,,,
URD,MDJ,9,,,
HDN,MDJ,9,,,
HDN,JPL,9,,,
SHC,SBV,9,,,
HYT,LSI,9,,,
DEC,PM,9,,,
KLRE,TORI,9,,,
BKI,MURD,9,,,
BKI,BU,9,,,
GDB,BTI,9,,,
GDB,MOT,9,,,
DGO,BBU,9,,,
BIM,NVS,9,,,
KIM,KSB,9,,,
CRP,KTH,9,,,
FD,ACND,9,,,
FD,SLW,9,,,
AGC,NZM,9,,,
BWT,TPT,9,,,
VAPI,PLG,9,,,
KWAE,SALE,9,,,
KRND,SMZ,9,,,
PAY,CHV,9,,,
ACND,AY,9,,,
MOT,ABS,9,,,
KMC,SC,9,,,
SLW,RDL,9,,,
AKP,VSKP,9,,,
BSP,RIG,9,,,
BSL,RV,9,,,
BSB,GYN,9,,,
MMA,AMH,9,,,
RC,AD,9,,,
WFD,KJM,9,,,
GHH,PTRD,9,,,
PDPL,JMKT,9,,,
PDPL,RDM,9,,,
COR,NBH,9,,,
GNG,JAIS,9,,,
BQI,SA,9,,,
ST,KSB,9,,,
SC,BG,9,,,
OGL,KVZ,9,,,
SFM,SAG,9,,,
KLAR,HPP,9,,,
UBL,NGR,9,,,
DGLE,NFK,9,,,
AB,VN,9,,,
NUQ,WDM,9,,,
DUA,BINA,9,,,
YLM,NRP,9,,,
PMR,TLH,9,,,
NLE,CHV,9,,,
SSB,NDLS,9,,,
DQG,JPE,9,,,
CC,GKP,9,,,
VV,RKD,9,,,
RKD,HTK,9,,,
AMH,SMZ,9,,,
HAN,GGC,9,,,
BNC,YNK,9,,,
ET,SGP,9,,,
ANGL,TLHR,9,,,
PNVL,MNI,9,,,
MDS,JAO,9,,,
GGN,PTRD,9,,,
NZB,MUE,9,,,
SAN,HRI,9,,,
WDM,DXN,9,,,
HPU,GMS,9,,,
TPT,JTJ,9,,,
NRP,TUNI,9,,,
KND,CNI,9,,,
CNI,TATA,9,,,
DXN,RNQ,9,,,
NNR,THB,9,,,
MURD,KL,9,,,
BSDP,NKP,8,,,
BSDP,KAPG,8,,,
SPJ,KRBP,8,,,
SPJ,KPGM,8,,,
SPN,AO,8,,,
JNH,PLP,8,,,
JNH,ALD,8,,,
JNL,ASR,8,,,
JNL,BEAS,8,,,
BEH,BMB,8,,,
BEH,JSG,8,,,
BEA,BYN,8,,,
BER,SOD,8,,,
GRL,MFP,8,,,
GRL,BNR,8,,,
HLN,KRNR,8,,,
LMT,BGK,8,,,
LMT,BSRX,8,,,
LMG,HJI,8,,,
MOTH,AIT,8,,,
MOTH,CGN,8,,,
PNE,AMP,8,,,
MRR,NHT,8,,,
MRL,NVS,8,,,
MRK,DKD,8,,,
APR,AAL,8,,,
MBNR,KRNT,8,,,
BLQR,RUPC,8,,,
BLQR,RMU,8,,,
DMM,KRY,8,,,
MSMD,KRAR,8,,,
PSA,VZM,8,,,
HNA,KT,8,,,
BCH,KSH,8,,,
SRR,OTP,8,,,
TDL,ETW,8,,,
TDL,SKB,8,,,
TDU,WADI,8,,,
TDU,SEM,8,,,
RJT,PDH,8,,,
RJP,HX,8,,,
RJY,DVD,8,,,
RJA,MBI,8,,,
DRD,BVI,8,,,
GOH,SGZ,8,,,
GOH,BWM,8,,,
MLO,BWT,8,,,
KZJ,KCG,8,,,
MAUR,BTI,8,,,
MB,KNT,8,,,
RWL,DWO,8,,,
MW,BHTR,8,,,
MS,NLR,8,,,
MS,CGL,8,,,
BAM,VSKP,8,,,
STA,REWA,8,,,
STA,UHR,8,,,
STW,BUI,8,,,
NCJ,TEN,8,,,
NCB,FLK,8,,,
KAT,MOZ,8,,,
SVJR,LNL,8,,,
KIUL,BRYA,8,,,
ATP,DHNE,8,,,
KRBP,KPGM,8,,,
LDH,SIR,8,,,
JHL,SAG,8,,,
JHL,NRW,8,,,
JHW,RMA,8,,,
JHW,BWM,8,,,
NAC,SBR,8,,,
LKO,BLM,8,,,
LKO,HGH,8,,,
SMBX,HRNR,8,,,
LKU,HDW,8,,,
LKS,MHJ,8,,,
KCG,SC,8,,,
ND,KBRV,8,,,
NW,CT,8,,,
BDVT,TKE,8,,,
TKR,KRD,8,,,
NDKD,MRGA,8,,,
NDKD,VNUP,8,,,
NGT,TVR,8,,,
BMB,GPH,8,,,
BMI,RTM,8,,,
LUR,LTRR,8,,,
LUR,UMD,8,,,
MRDW,BTJL,8,,,
MZP,COI,8,,,
WSJ,PBR,8,,,
GIMB,SIOB,8,,,
FL,NRI,8,,,
KLRE,RAY,8,,,
NEW,MRPR,8,,,
BKN,LGH,8,,,
SJP,BPL,8,,,
MEJ,KDU,8,,,
MEP,VMA,8,,,
KGG,KIR,8,,,
KGG,SKJ,8,,,
KGM,HDW,8,,,
CPJ,SBZ,8,,,
THVM,KRMI,8,,,
DGR,SURI,8,,,
AAL,BUH,8,,,
BIM,AML,8,,,
SLN,JOP,8,,,
SLO,DVD,8,,,
KIR,LAV,8,,,
KIT,BALU,8,,,
KIN,COR,8,,,
CRJ,DHN,8,,,
FD,ABP,8,,,
DAB,BSX,8,,,
KOTA,DKNT,8,,,
BWN,KQU,8,,,
BWN,ASN,8,,,
MAP,SA,8,,,
MAS,OGL,8,,,
SNI,AJNI,8,,,
SNT,SURI,8,,,
SNT,BHP,8,,,
MAI,MTR,8,,,
MAI,CAA,8,,,
VAPI,BOR,8,,,
KAPG,KUU,8,,,
BSQP,MNP,8,,,
PAK,PIL,8,,,
GBD,DBU,8,,,
BUG,HIR,8,,,
BUG,SBZ,8,,,
MOR,PHK,8,,,
MOR,MKA,8,,,
ETW,PHD,8,,,
KMU,PML,8,,,
KMZ,UMR,8,,,
CVP,KDU,8,,,
STKT,QLN,8,,,
STKT,KPY,8,,,
SV,DDA,8,,,
UHR,MYR,8,,,
AKN,BGP,8,,,
AKD,KSH,8,,,
HKG,BRGA,8,,,
BSL,ET,8,,,
BSB,BHLP,8,,,
SBP,ANGL,8,,,
SBG,PPT,8,,,
SBG,TPH,8,,,
ERS,TCR,8,,,
WADI,CT,8,,,
KOP,VV,8,,,
RU,BZA,8,,,
ANND,KBRV,8,,,
AUBR,RFJ,8,,,
GHQ,NUQ,8,,,
HSK,KBJ,8,,,
PM,GGN,8,,,
GNT,TEL,8,,,
GNG,RBL,8,,,
MKA,PNBE,8,,,
SZM,NUR,8,,,
GUR,DUD,8,,,
HUP,YPR,8,,,
EKM,PUT,8,,,
SC,ZN,8,,,
CAP,GAM,8,,,
SFY,SFW,8,,,
KSV,CHJ,8,,,
KSX,JAA,8,,,
VTM,CLX,8,,,
VTM,CJM,8,,,
SEGM,WR,8,,,
AML,NVS,8,,,
AMG,HRI,8,,,
KUD,GPB,8,,,
HSRA,CRLM,8,,,
TJ,PML,8,,,
AF,BXN,8,,,
SKZR,WL,8,,,
JSP,HTK,8,,,
RAA,JUDW,8,,,
RAY,PTRU,8,,,
PKR,MLDT,8,,,
DUA,LAR,8,,,
KWV,BTW,8,,,
RURA,CNB,8,,,
BL,BVI,8,,,
NNN,VLY,8,,,
NNN,TEN,8,,,
BDL,MNF,8,,,
PMR,BE,8,,,
DWO,DDN,8,,,
KYJ,CNGR,8,,,
BYN,RPR,8,,,
JOP,SKN,8,,,
VNUP,MRGA,8,,,
TKE,RRB,8,,,
DLJ,BTD,8,,,
DLI,DKZ,8,,,
RMM,MMM,8,,,
BBK,LJN,8,,,
BBS,BLS,8,,,
DD,BGVN,8,,,
KMNC,JP,8,,,
SURI,RPH,8,,,
SUR,HG,8,,,
RTM,MDS,8,,,
G,BRD,8,,,
SWA,GKP,8,,,
RIG,BRJN,8,,,
RIG,BPH,8,,,
BNR,HJP,8,,,
YNK,DBU,8,,,
CHJ,MTJ,8,,,
VZM,SCM,8,,,
VZM,DVD,8,,,
BLT,SMR,8,,,
KNVT,ADB,8,,,
SKT,KHS,8,,,
SKI,MBI,8,,,
DDE,NDB,8,,,
NDL,GID,8,,,
BJP,BSRX,8,,,
MYG,BRC,8,,,
MYG,PLJ,8,,,
BHC,SORO,8,,,
BUI,GCT,8,,,
BBMN,JAT,8,,,
UMD,BTW,8,,,
SOG,MHJ,8,,,
GP,GPH,8,,,
VLR,ARV,8,,,
CHI,ROHA,8,,,
JAA,BKSC,8,,,
BGVN,JEUR,8,,,
KRAR,NPD,8,,,
KLD,MHH,8,,,
PVRD,KTYM,8,,,
SEO,KNT,8,,,
SEH,KPP,8,,,
BPH,BRJN,8,,,
BRRG,PFR,8,,,
CNB,PHD,8,,,
MJG,JTW,8,,,
GID,CBM,8,,,
KPD,TPTY,8,,,
PNBE,BXR,8,,,
RBG,GPB,8,,,
BHLK,UDGR,8,,,
GADJ,GTJT,8,,,
NKM,RNC,8,,,
CBF,CBE,8,,,
BZA,DVD,8,,,
ALD,PLP,8,,,
PQE,BEHS,7,,,
PQE,NLD,7,,,
JNA,JIND,7,,,
JNA,ROK,7,,,
JNH,URPR,7,,,
JNH,SQN,7,,,
PNK,RURA,7,,,
